ID_Cliente;Nome;Sexo;Idade; Renda_Mensal ;Data_Cadastro;Estado_Civil
118;Isaac Rezende;M;69;17429.92;2026-01-30 00:00:00+00:00;Casado
119;Mirella da Cunha;F;75;8338.97;2024-05-30 00:00:00+00:00;Solteiro
120;Mariane Barbosa;F;50;6536.95;2024-01-10 00:00:00+00:00;Solteiro
121;Pietro Moreira;F;53;14820.2;2021-05-27 00:00:00+00:00;Casado
122;Vicente Cunha;M;22;8561.12;2022-12-21 00:00:00+00:00;Divorciado
123;Kaique Ferreira;M;26;24342.64;2022-04-20 00:00:00+00:00;Divorciado
124;Thales da Rosa;M;74;20931.48;2025-03-12 00:00:00+00:00;Divorciado
125;Murilo Souza;F;50;22874.95;2022-02-11 00:00:00+00:00;Solteiro
126;Cecília da Costa;M;38;23446.76;2024-08-30 00:00:00+00:00;Solteiro
127;Breno Fogaça;M;34;5871.99;2021-08-20 00:00:00+00:00;Divorciado
128;Ana Carolina Campos;M;50;16455.5;2025-09-14 00:00:00+00:00;Divorciado
129;Marcos Vinicius da Rocha;F;71;0.0;2025-07-21 00:00:00+00:00;Solteiro
130;Letícia Teixeira;F;59;6217.24;2025-02-24 00:00:00+00:00;Divorciado
131;Sr. João Guilherme Barros;F;59;23968.27;2022-06-25 00:00:00+00:00;Casado
132;Diogo Vieira;F;22;17589.0;2021-11-20 00:00:00+00:00;Solteiro
133;Laís Silveira;M;38;21703.34;2024-06-10 00:00:00+00:00;Casado
134;Marcelo Fernandes;M;66;10018.86;2024-12-02 00:00:00+00:00;Divorciado
135;Srta. Natália Cunha;F;33;4552.89;2024-07-15 00:00:00+00:00;Solteiro
136;Srta. Brenda Mendes;M;73;22675.0;2023-11-08 00:00:00+00:00;Casado
137;Marcelo Aragão;M;49;24904.07;2025-01-27 00:00:00+00:00;Casado
138;Clara Dias;F;50;12082.09;2023-06-10 00:00:00+00:00;Solteiro
139;Miguel da Conceição;no value;56;22199.68;2025-12-30 00:00:00+00:00;Divorciado
140;Isaac Cardoso;M;45;4387.65;2023-03-16 00:00:00+00:00;Casado
141;João Correia;F;21;14772.7;2024-03-14 00:00:00+00:00;Solteiro
142;Srta. Elisa Campos;F;66;14286.6;2026-04-21 00:00:00+00:00;Divorciado
143;Caio Gonçalves;F;41;20118.55;2022-05-08 00:00:00+00:00;Casado
144;Dr. Enrico Aragão;F;50;2158.07;2025-11-29 00:00:00+00:00;Solteiro
145;Cauã Lopes;F;27;15629.0;2021-06-12 00:00:00+00:00;Divorciado
146;Rafaela Barbosa;F;57;18795.8;2022-09-16 00:00:00+00:00;Casado
147;Nina Gonçalves;F;63;14597.6;2023-06-11 00:00:00+00:00;Casado
148;Luiz Felipe Pires;F;55;8522.73;2022-06-18 00:00:00+00:00;Divorciado
149;Dr. Nathan Nogueira;F;59;19833.11;2024-06-23 00:00:00+00:00;Divorciado
150;Eduardo Pires;M;51;16170.8;2024-04-04 00:00:00+00:00;Divorciado
151;Isis Aragão;M;20;0.0;2024-06-17 00:00:00+00:00;Divorciado
152;Isabella Rodrigues;M;44;17633.91;2026-01-25 00:00:00+00:00;Casado
153;Sr. Diogo Martins;M;63;4486.36;2022-10-24 00:00:00+00:00;Solteiro
154;João Vitor Novaes;F;38;23969.11;2022-07-11 00:00:00+00:00;Casado
155;Sr. Enrico Alves;F;57;12723.49;2026-03-14 00:00:00+00:00;Solteiro
156;Ana Sophia Fogaça;F;67;8078.3;2021-07-27 00:00:00+00:00;Solteiro
157;Emilly Gomes;F;36;4100.6;2025-03-26 00:00:00+00:00;Divorciado
158;Luiz Otávio Porto;F;67;20349.86;2024-10-16 00:00:00+00:00;Casado
159;Mirella Azevedo;F;59;7303.37;2024-10-26 00:00:00+00:00;Casado
160;Lara Almeida;F;26;3799.59;2022-07-06 00:00:00+00:00;Divorciado
161;Sra. Vitória Silveira;M;58;6741.51;2023-10-19 00:00:00+00:00;Solteiro
162;Rodrigo Gomes;M;18;24155.55;2023-12-24 00:00:00+00:00;Solteiro
163;João Vitor Silveira;F;59;5947.05;2022-04-24 00:00:00+00:00;Casado
164;Eduarda Cardoso;M;59;14864.37;2022-12-09 00:00:00+00:00;Divorciado
165;Sra. Marcela Sales;M;44;0.0;2022-09-10 00:00:00+00:00;Solteiro
166;Gabrielly Aragão;F;29;0.0;2024-05-11 00:00:00+00:00;Casado
167;Rafaela Novaes;M;39;7972.57;2024-05-03 00:00:00+00:00;Divorciado
168;Sophia Rocha;F;35;5788.91;2022-05-26 00:00:00+00:00;Solteiro
169;Caio Moreira;M;18;18731.51;2021-07-28 00:00:00+00:00;Casado
170;Calebe Correia;F;70;11379.34;2025-03-24 00:00:00+00:00;Casado
171;Maria Porto;M;0;8901.72;2021-05-31 00:00:00+00:00;Solteiro
172;Yasmin Melo;F;39;8386.31;2025-10-16 00:00:00+00:00;Divorciado
173;Ana Clara Sales;M;21;17093.31;2025-09-12 00:00:00+00:00;Casado
174;Sophie Rezende;F;62;3994.49;2022-08-19 00:00:00+00:00;Casado
175;Dr. Davi Lucca Lopes;F;27;12028.49;2024-08-04 00:00:00+00:00;Divorciado
176;Cauê Araújo;M;66;7089.68;2025-11-08 00:00:00+00:00;Divorciado
177;Brenda Porto;F;22;23030.42;2023-05-17 00:00:00+00:00;Solteiro
178;João Cunha;M;28;9009.2;2022-11-02 00:00:00+00:00;Divorciado
179;Valentina Carvalho;F;23;22593.57;2026-05-02 00:00:00+00:00;Casado
180;Luigi Campos;F;54;2574.14;2023-08-29 00:00:00+00:00;Casado
181;Vinicius Jesus;F;70;0.0;2026-03-05 00:00:00+00:00;Solteiro
182;Ana Carolina Ferreira;M;52;24860.14;2023-03-26 00:00:00+00:00;Solteiro
183;Emanuella Novaes;M;67;4423.21;2025-10-11 00:00:00+00:00;Divorciado
184;Sophia Mendes;F;46;21896.96;2022-11-19 00:00:00+00:00;Casado
185;Ana Moura;M;59;21674.82;2021-10-27 00:00:00+00:00;Solteiro
186;Murilo Silva;M;71;1282.66;2023-11-14 00:00:00+00:00;Solteiro
187;Ian Castro;F;52;10226.78;2024-01-15 00:00:00+00:00;Solteiro
188;Luiz Felipe Teixeira;M;20;20465.58;2023-12-10 00:00:00+00:00;Casado
189;Stephany Lopes;M;31;2801.52;2026-03-24 00:00:00+00:00;Divorciado
190;Samuel Rezende;M;33;18824.88;2026-02-13 00:00:00+00:00;Casado
191;Dra. Alícia Melo;M;26;13192.72;2025-08-30 00:00:00+00:00;Casado
192;Sra. Lavínia Peixoto;F;33;8381.99;2023-05-25 00:00:00+00:00;Solteiro
193;Luana Barros;F;21;14449.89;2022-09-23 00:00:00+00:00;Divorciado
194;Augusto Farias;F;53;12995.77;2026-02-22 00:00:00+00:00;Casado
195;Maria Julia Teixeira;F;62;11108.53;2025-03-02 00:00:00+00:00;Solteiro
196;Calebe da Luz;M;72;6563.2;2022-07-06 00:00:00+00:00;Divorciado
197;Srta. Laura da Mata;F;44;14463.42;2023-01-07 00:00:00+00:00;Solteiro
198;Maria Sophia Silveira;M;46;21361.77;2023-03-30 00:00:00+00:00;Solteiro
199;Alícia Moreira;F;61;15598.27;2024-10-27 00:00:00+00:00;Solteiro
200;Otávio Azevedo;M;48;6171.56;2021-06-16 00:00:00+00:00;Casado
201;Nina Rodrigues;M;65;3992.13;2026-02-16 00:00:00+00:00;Casado
202;Alice da Rocha;F;33;14339.49;2023-08-22 00:00:00+00:00;Casado
203;Ana Júlia Aragão;F;41;13405.03;2026-01-20 00:00:00+00:00;Casado
204;Luana Dias;F;31;10022.78;2025-09-18 00:00:00+00:00;Casado
205;Maria Vitória Moreira;M;34;14368.82;2022-06-20 00:00:00+00:00;Divorciado
206;Sophie Lima;F;32;10240.19;2022-06-30 00:00:00+00:00;Solteiro
207;Heloísa Araújo;F;66;20753.89;2023-05-20 00:00:00+00:00;Divorciado
208;Sra. Valentina Ferreira;F;28;4531.01;2022-03-01 00:00:00+00:00;Divorciado
209;Dra. Sarah da Mata;M;51;2005.01;2022-01-27 00:00:00+00:00;Solteiro
210;Dr. Matheus Azevedo;F;26;21252.56;2024-09-27 00:00:00+00:00;Solteiro
211;Luiz Miguel Ramos;F;41;2638.71;2022-10-29 00:00:00+00:00;Divorciado
212;Leonardo Freitas;F;19;0.0;2021-12-30 00:00:00+00:00;Divorciado
213;Dr. Arthur Cardoso;F;19;13152.74;2025-12-21 00:00:00+00:00;Divorciado
214;Lorena Nascimento;M;24;13680.37;2023-10-13 00:00:00+00:00;Solteiro
215;Ana Sophia Azevedo;F;68;10646.13;2022-05-10 00:00:00+00:00;Casado
216;Ana Julia Rocha;M;37;17480.19;2025-12-15 00:00:00+00:00;Solteiro
217;Samuel da Rocha;M;43;10226.48;2025-10-03 00:00:00+00:00;Divorciado
218;Rebeca Ribeiro;M;49;21318.85;2025-11-03 00:00:00+00:00;Divorciado
219;Emanuelly Mendes;M;75;13770.19;2023-03-01 00:00:00+00:00;Solteiro
220;Mariana da Mata;F;35;2308.17;2025-11-23 00:00:00+00:00;Solteiro
221;Juan Barbosa;M;0;23304.64;2021-11-14 00:00:00+00:00;Casado
222;Diogo Souza;F;22;8322.79;2023-08-24 00:00:00+00:00;Divorciado
223;João Gabriel Nogueira;F;42;19183.5;2024-07-12 00:00:00+00:00;Solteiro
224;Renan Rocha;F;21;3524.92;2026-02-24 00:00:00+00:00;Solteiro
225;Danilo da Rocha;F;67;8967.76;2021-10-01 00:00:00+00:00;Divorciado
226;Maria Alice Cavalcanti;F;53;23599.2;2023-07-06 00:00:00+00:00;Casado
227;Arthur da Costa;F;69;7065.5;2024-12-24 00:00:00+00:00;Solteiro
228;Elisa Viana;M;65;0.0;2026-05-18 00:00:00+00:00;Casado
229;Luiz Felipe Mendes;F;66;7620.44;2024-07-21 00:00:00+00:00;Solteiro
230;Bryan da Rosa;F;24;1825.03;2023-07-15 00:00:00+00:00;Casado
231;João Rezende;F;18;8145.97;2023-04-06 00:00:00+00:00;Casado
232;Júlia Ramos;M;54;13602.29;2022-07-28 00:00:00+00:00;Divorciado
233;Srta. Raquel Gonçalves;F;27;2705.76;2026-03-24 00:00:00+00:00;Casado
234;Elisa Carvalho;F;34;23672.49;2023-05-28 00:00:00+00:00;Divorciado
235;Leandro da Luz;M;26;8450.86;2023-08-25 00:00:00+00:00;Casado
236;João Gabriel Rodrigues;F;46;9166.72;2026-04-20 00:00:00+00:00;Divorciado
237;Enrico Martins;M;48;8677.56;2022-07-17 00:00:00+00:00;Casado
238;Ana Júlia Rezende;F;54;19810.99;2021-05-27 00:00:00+00:00;Casado
239;Mariane Cunha;M;54;5955.24;2022-03-26 00:00:00+00:00;Divorciado
240;Ana Sophia Campos;F;63;0.0;2023-11-12 00:00:00+00:00;Casado
241;Isabelly Barros;F;61;13083.42;2023-07-30 00:00:00+00:00;Divorciado
242;Cauê Rezende;F;68;10172.38;2023-10-25 00:00:00+00:00;Casado
243;Marcos Vinicius Silveira;F;52;2075.01;2022-04-20 00:00:00+00:00;Casado
244;Eduarda Novaes;M;24;19501.11;2025-08-03 00:00:00+00:00;Divorciado
245;Francisco Caldeira;F;66;9092.0;2022-09-13 00:00:00+00:00;Casado
246;Yuri Moura;M;46;10104.05;2025-11-08 00:00:00+00:00;Casado
247;Sr. Kevin Nunes;F;19;12689.95;2024-02-06 00:00:00+00:00;Casado
248;Mariane Carvalho;M;40;8622.99;2021-12-04 00:00:00+00:00;Casado
249;Luiz Gustavo Costa;M;46;18383.46;2022-03-07 00:00:00+00:00;Casado
250;Thiago Campos;M;19;21410.48;2022-03-10 00:00:00+00:00;Divorciado
251;Enzo Sales;M;51;5351.99;2025-08-01 00:00:00+00:00;Solteiro
252;Kevin Rodrigues;F;58;5589.95;2024-08-09 00:00:00+00:00;Divorciado
253;Sr. Heitor Cunha;M;0;15294.44;2026-05-17 00:00:00+00:00;Casado
254;Benjamin da Mota;M;54;3621.7;2025-04-23 00:00:00+00:00;Divorciado
255;Maria Julia Freitas;F;60;21730.75;2025-05-05 00:00:00+00:00;Divorciado
256;Isabel Gomes;F;55;3918.72;2021-06-11 00:00:00+00:00;Casado
257;Alana Pires;F;57;15246.01;2022-02-13 00:00:00+00:00;Divorciado
258;Davi Lucas Gomes;M;41;17703.79;2023-02-04 00:00:00+00:00;Divorciado
259;Noah da Cruz;F;29;12782.75;2022-01-08 00:00:00+00:00;Divorciado
260;Letícia Moura;M;49;8074.27;2024-02-09 00:00:00+00:00;Solteiro
261;Isabella Oliveira;F;18;12733.69;2022-11-07 00:00:00+00:00;Solteiro
262;Bianca Gonçalves;F;44;17495.78;2025-07-27 00:00:00+00:00;Casado
263;Ana Beatriz Lopes;M;68;19313.15;2025-09-16 00:00:00+00:00;Casado
264;Manuela Campos;F;54;18871.93;2022-09-15 00:00:00+00:00;Casado
265;Daniela Correia;F;52;20778.14;2024-04-07 00:00:00+00:00;Solteiro
266;Paulo da Cruz;F;24;18716.53;2024-01-07 00:00:00+00:00;Divorciado
267;Dr. João Felipe Vieira;F;34;9496.13;2024-04-12 00:00:00+00:00;Solteiro
268;João Miguel Cavalcanti;M;31;20494.72;2022-10-21 00:00:00+00:00;Divorciado
269;Cauê da Conceição;F;28;15864.4;2022-06-18 00:00:00+00:00;Solteiro
270;Maria Alice Barbosa;F;56;14022.69;2023-12-16 00:00:00+00:00;Casado
271;Danilo Almeida;M;26;24113.97;2022-07-01 00:00:00+00:00;Casado
272;Antônio Gomes;M;62;21812.68;2025-05-23 00:00:00+00:00;Solteiro
273;Caroline Rezende;F;49;4583.68;2024-01-08 00:00:00+00:00;Divorciado
274;Srta. Olivia Souza;M;43;13471.6;2024-12-11 00:00:00+00:00;Casado
275;Arthur Ramos;F;38;15050.54;2025-11-16 00:00:00+00:00;Divorciado
276;Sr. Heitor Cardoso;F;72;2707.27;2025-08-06 00:00:00+00:00;Divorciado
277;Caio Pires;F;35;8884.19;2021-09-16 00:00:00+00:00;Casado
278;Emilly Costa;F;68;0.0;2023-05-30 00:00:00+00:00;Divorciado
279;Dra. Gabrielly Rezende;F;19;0.0;2024-04-25 00:00:00+00:00;Solteiro
280;Caroline Moreira;M;62;22843.89;2022-09-17 00:00:00+00:00;Divorciado
281;Esther Nunes;M;59;9778.36;2022-07-09 00:00:00+00:00;Solteiro
282;Emanuel Peixoto;F;58;8471.12;2023-01-15 00:00:00+00:00;Divorciado
283;Dr. Pedro Henrique Dias;M;18;6279.42;2023-12-01 00:00:00+00:00;Solteiro
284;Bernardo Moreira;M;18;17755.21;2023-05-16 00:00:00+00:00;Solteiro
285;Alexandre Lima;M;32;10317.06;2026-03-24 00:00:00+00:00;Divorciado
286;Antônio Moraes;F;26;10308.76;2022-07-06 00:00:00+00:00;Solteiro
287;Sofia Santos;M;57;16670.48;2024-10-13 00:00:00+00:00;Casado
288;Pedro Lucas Rocha;F;57;17540.27;2021-09-13 00:00:00+00:00;Solteiro
289;Ana Lívia Pinto;F;40;24125.32;2023-11-01 00:00:00+00:00;Casado
290;Enrico da Rosa;M;53;15503.78;2022-02-02 00:00:00+00:00;Divorciado
291;Theo Gonçalves;F;31;13522.43;2025-05-20 00:00:00+00:00;Divorciado
292;Guilherme Farias;M;49;10384.08;2023-02-22 00:00:00+00:00;Solteiro
293;Elisa Mendes;M;41;23427.4;2022-10-28 00:00:00+00:00;Solteiro
294;João Lucas da Mota;M;0;0.0;2022-12-08 00:00:00+00:00;Solteiro
295;Srta. Helena Pinto;M;21;23778.58;2024-04-19 00:00:00+00:00;Casado
296;Brenda da Rosa;F;45;17903.09;2022-04-19 00:00:00+00:00;Solteiro
297;Sr. Murilo Ribeiro;M;37;3080.71;2021-06-01 00:00:00+00:00;Solteiro
298;Sra. Isadora Correia;M;37;17828.49;2023-04-03 00:00:00+00:00;Divorciado
299;Diogo da Mota;F;25;11990.25;2024-01-25 00:00:00+00:00;Divorciado
300;Rodrigo Cardoso;M;25;1501.43;2021-11-02 00:00:00+00:00;Solteiro
301;Srta. Luana Pires;F;28;10050.49;2025-05-05 00:00:00+00:00;Divorciado
302;Isadora Castro;M;39;20409.17;2025-02-11 00:00:00+00:00;Casado
303;Pedro Fernandes;M;49;12033.71;2021-09-05 00:00:00+00:00;Casado
304;Sr. Vitor Gabriel da Mata;M;34;19605.23;2023-04-13 00:00:00+00:00;Divorciado
305;Lorena Monteiro;M;20;21636.8;2025-10-14 00:00:00+00:00;Solteiro
306;Kamilly Gomes;M;29;23361.61;2025-12-26 00:00:00+00:00;Solteiro
307;Bruna Ferreira;F;32;8858.89;2024-02-07 00:00:00+00:00;Casado
308;Vitor Hugo Ramos;F;25;13148.57;2022-07-09 00:00:00+00:00;Solteiro
309;Giovanna Melo;F;22;22072.39;2022-05-04 00:00:00+00:00;Casado
310;Ana Alves;F;18;9980.28;2025-07-02 00:00:00+00:00;Casado
311;Antônio Gomes;F;41;15282.24;2025-04-26 00:00:00+00:00;Casado
312;Raquel Jesus;M;0;1351.79;2021-09-25 00:00:00+00:00;Casado
313;Dra. Ana Novaes;M;39;1234.8;2023-01-23 00:00:00+00:00;Divorciado
314;Lucas Gabriel Rodrigues;M;51;0.0;2025-06-11 00:00:00+00:00;Casado
315;Luiz Fernando Barros;F;23;2244.83;2022-06-18 00:00:00+00:00;Solteiro
316;Sra. Rafaela Rezende;F;47;24394.4;2021-08-31 00:00:00+00:00;Solteiro
317;Erick Gonçalves;F;22;15287.12;2022-06-25 00:00:00+00:00;Solteiro
318;Bárbara Caldeira;F;72;8697.21;2025-09-04 00:00:00+00:00;Casado
